category,query,top1_500,top1_1000,top1_1500,nct_500,nct_1000,nct_1500,best_size,all_agree_on_top
drug + condition,pembrolizumab in non-small cell lung cancer,0.962,0.954,0.954,NCT04340882,NCT02991482,NCT02991482,500,False
biomarker baseline,BRAF V600E mutation targeted therapy,0.946,0.938,0.931,NCT02414750,NCT04151563,NCT02414750,500,False
vocabulary mismatch,antibody drug conjugate for HER2 positive cancer,0.937,0.932,0.93,NCT06727227,NCT00004888,NCT00004888,500,False
deeper context,hazard ratio for overall survival in phase 3 tri,0.939,0.922,0.921,NCT02224781,NCT03568097,NCT03568097,500,False
deeper context,trial eligibility criteria age 65 and older,0.945,0.945,0.939,NCT05353686,NCT05353686,NCT06707220,500,False
adversarial OOD,best Italian restaurant in Boston,0.834,0.834,0.835,NCT06727227,NCT07342010,NCT06005142,1500,False
adversarial in-domain vocab,treatment for the common cold,0.905,0.903,0.898,NCT00656227,NCT07513883,NCT07513883,500,False
